MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
14.94,23,6.18,3.34,3827,1.51,27.14,90.93,87.18
3.14,10,8.79,3.35,2649,9.87,18.55,91.22,27.16
13.8,22,6.42,3.68,4150,6.85,36.13,71.46,92.23
4.71,15,7.13,1.76,4913,4.53,11.22,94.96,48.22
6.68,25,5.59,1.16,4724,2.93,18.48,74.73,77.61
2.28,47,4.47,4.84,396,1.26,34.48,90.61,80.67
7.2,49,9.47,3.1,1847,4.23,12.04,86.93,26.88
7.86,32,9.68,3.23,2197,1.33,29.64,87.09,97.74
2.98,2,1.39,4.5,2745,9.38,10.52,86.37,17.6
7.23,9,6.9,2.53,2585,1.6,30.5,78.45,97.92
13.52,27,8.38,2.39,3014,4.28,17.69,88.67,69.81
4.01,26,4.65,1.45,2730,5.94,9.55,84.95,52.44
11.31,12,4.27,4.62,1805,8.62,12.99,76.15,40.14
11.06,6,1.2,1.91,1129,8.06,32.13,83.62,79.07
8.68,22,5.92,1.35,171,6.12,21.74,79.64,38.42
3.68,13,4.65,2.11,4065,7.25,14.23,78.97,59.34
11.58,32,7.26,2.8,3847,3.37,15.7,85.03,27.71
3.68,21,3.65,2.06,2014,4.57,34.57,74.17,98.83
8.09,47,2.69,3.05,2942,5.81,35.1,78.84,21.73
5.29,13,6.9,2.27,2033,5.02,36.62,91.2,18.54
7.98,44,2.92,4.79,4626,8.3,23.92,70.82,40.28
5.29,14,4.58,4.79,3810,3.61,25.89,68.57,79.97
12.4,4,1.23,1.61,3019,3.48,22.44,87.75,32.51
10.85,30,7.27,4.55,1917,1.85,11.75,83.71,64.09
13.17,39,6.28,2.71,1868,8.54,34.85,83.25,53.21
6.85,18,9.4,4.98,4595,9.34,13.83,89.6,41.15
9.71,40,3.45,1.99,308,3.4,35.42,80.28,83.34
11.81,37,2.25,3.96,1663,5.65,12.98,78.91,61.99
4.76,1,2.92,4.6,2455,5.08,25.47,82.39,35.01
6.26,1,7.66,1.6,4812,5.38,33.48,77.23,15.61
14.4,32,9.97,2.58,4479,8.66,27.2,80.46,72.67
10.06,27,2.56,2.91,1438,4.9,27.05,73.01,57.22
6.08,37,6.95,2.76,1680,7.84,21.84,79.21,22.33
7.94,37,7.1,1.71,1185,7.68,24.13,75.43,80.15
9.82,43,7.62,3.41,2910,2.6,28.19,83.67,37.13
4.68,49,2.05,1.43,1641,9.65,31.96,74.74,26.86
7.16,46,6.76,1.75,1790,3.8,21.84,78.41,53.79
2.27,29,5.45,2.11,1467,6.91,15.21,68.34,64.56
10.04,39,8.62,2.46,1951,5.58,30.08,73.3,92.59
7.11,36,5.13,1.37,1789,5.83,16.45,79.69,90.67
10.01,40,3.73,1.79,1290,7.72,20.63,95.95,82.96
7.18,24,3.79,4.96,3652,8.08,14.93,88.47,65.45
10.49,11,1.28,3.61,2401,8.24,29.29,94.09,69.33
2.71,46,2.39,3.53,163,6.99,16.28,73.31,36.27
5.57,47,7.53,3.32,3484,3.18,10.52,95.7,87.66
8.76,45,3.91,1.28,3607,7.57,15.03,84.59,20.87
13.2,22,7.38,1.23,4370,5.68,30.57,80.29,48.25
12.42,11,9.22,4.2,2746,4.03,12.37,92.48,37.69
4.35,25,7.23,1.07,4525,6.06,20.2,75.32,18.33
12.63,40,6.03,3.93,1826,1.4,26.98,91.16,58.94
13.35,29,3.43,1.71,558,9.24,34.76,69.0,97.62
11.61,38,2.12,2.47,3399,6.69,14.23,86.71,94.79
6.28,33,1.95,1.62,258,8.88,35.22,70.75,41.7
8.67,12,4.33,3.75,3453,2.7,10.65,73.96,68.28
12.18,31,5.12,4.31,1650,1.63,31.31,72.49,58.29
6.16,7,3.16,3.4,3311,5.06,13.31,83.18,49.93
6.72,7,8.77,4.51,1722,1.18,28.57,81.2,17.25
6.65,22,8.55,1.1,218,1.02,12.9,89.36,54.71
6.45,16,7.93,1.69,650,6.28,26.01,86.79,53.54
7.35,9,8.48,2.88,2805,2.8,20.59,79.25,52.76
14.3,49,8.88,2.84,2137,8.07,30.56,88.14,27.75
9.94,11,4.16,1.87,2561,3.17,21.31,82.35,10.31
6.76,39,3.94,1.3,4119,3.61,23.35,77.52,99.34
2.78,12,6.88,4.27,4213,8.7,30.84,77.75,32.81
11.45,22,8.87,4.47,2139,9.31,13.75,82.76,78.77
13.03,28,8.77,2.49,916,6.45,11.89,76.76,54.02
3.59,24,9.72,4.61,3948,7.6,21.16,83.34,85.13
8.72,3,4.84,3.8,1812,9.76,27.56,86.85,60.12
6.6,32,1.56,1.67,1542,7.16,15.55,72.86,57.18
3.46,22,7.69,2.9,1294,4.4,14.72,89.36,79.47
8.67,25,3.14,3.04,2029,4.4,31.22,72.25,78.62
4.52,31,2.36,4.0,566,4.54,19.05,77.52,12.3
14.37,15,1.8,3.27,1603,4.35,22.66,89.69,39.3
12.0,32,7.51,1.26,1543,9.93,30.28,68.55,71.21
6.16,48,4.23,1.6,737,5.86,18.43,79.94,35.16
10.0,36,4.43,1.09,3421,1.54,27.09,93.29,26.25
14.97,47,8.0,4.39,2796,6.2,35.2,79.86,65.71
14.82,27,4.88,2.32,3359,7.22,25.82,85.51,88.42
2.77,9,2.17,1.09,938,5.11,31.08,73.49,75.78
3.81,10,4.52,2.22,2198,6.43,31.43,85.55,79.65
3.14,6,8.9,2.43,461,8.2,21.18,81.61,10.25
9.69,14,8.27,3.86,4426,7.72,23.32,92.06,18.04
14.65,43,9.31,4.5,2982,1.14,12.71,89.23,21.12
2.29,47,4.14,3.35,3247,8.75,14.83,83.38,73.4
3.16,26,9.48,1.6,4765,9.97,12.91,78.48,90.46
4.99,33,3.25,4.81,4515,9.02,21.79,87.51,96.15
7.74,18,8.76,4.51,3019,1.68,25.65,81.08,98.94
2.27,42,7.42,4.73,4067,9.97,34.58,96.42,38.17
6.72,25,9.14,4.35,1472,4.77,11.67,70.42,17.2
6.26,44,8.91,4.42,4899,5.66,18.41,75.06,68.83
12.85,7,4.54,1.5,3698,8.22,15.55,70.37,67.73
13.55,29,9.55,2.79,1380,3.47,19.29,79.0,45.08
8.54,34,4.8,4.41,1351,9.95,23.19,85.98,40.73
13.64,35,2.11,4.87,551,1.22,18.67,76.95,40.96
8.09,38,9.71,1.7,2727,7.5,16.03,78.43,90.75
8.98,22,1.39,4.36,1201,3.67,23.0,77.55,70.7
4.19,21,7.59,4.9,1571,1.49,29.37,74.22,63.14
14.46,31,8.24,2.28,879,7.6,12.2,72.65,21.36
3.7,1,2.46,3.95,3278,4.7,13.85,76.55,52.3
5.81,43,9.78,2.69,2347,5.36,24.37,93.85,86.44
12.8,35,1.99,1.21,3844,8.58,36.04,80.48,29.79
9.68,21,3.47,3.44,3511,6.52,13.9,68.26,22.02
12.43,6,2.55,1.12,1601,3.52,9.27,88.35,64.87
10.34,48,6.42,3.58,380,4.02,16.04,95.52,50.58
10.6,25,9.31,1.04,3979,5.8,8.71,95.51,19.74
9.35,1,6.14,1.05,1709,1.0,14.33,76.2,21.89
11.8,21,6.71,2.35,259,1.52,36.18,83.66,93.8
2.62,7,6.32,4.02,783,7.05,14.87,70.18,66.08
8.2,4,3.68,3.1,3914,9.4,11.93,70.82,56.23
9.48,3,3.55,1.55,282,6.12,24.17,92.29,90.44
14.86,34,1.15,2.22,2129,4.83,23.01,88.29,79.0
11.49,24,7.95,2.59,1160,7.91,28.31,83.86,46.17
2.89,28,5.3,4.37,2117,1.74,33.32,88.51,40.21
8.11,30,3.7,2.67,642,3.63,25.42,95.95,71.07
7.86,31,4.58,2.29,3103,8.68,25.93,72.06,28.66
2.79,15,9.99,3.14,2181,5.24,35.54,86.95,53.82
14.76,26,8.72,4.94,1811,2.44,36.53,74.81,53.34
6.3,20,6.11,4.2,1857,3.56,15.33,79.65,84.22
11.08,31,1.9,3.83,1676,6.44,26.9,72.32,51.87
2.86,21,1.39,1.69,4231,8.56,24.14,96.28,20.83
7.67,17,7.63,2.79,4520,8.57,24.66,89.98,72.48
14.36,18,4.06,4.1,400,7.26,26.49,75.94,75.11
13.78,37,7.39,1.58,3211,1.46,12.88,91.86,77.52
10.1,21,4.7,3.24,849,6.52,8.63,91.89,24.48
10.53,40,6.17,4.27,3423,8.08,13.95,71.7,58.08
10.76,32,3.64,1.13,202,7.9,10.54,87.27,25.9
8.03,25,2.48,1.48,4553,5.33,11.36,77.98,64.19
11.11,8,3.69,2.01,3575,3.57,10.66,96.81,45.2
3.12,43,9.65,4.06,2766,5.63,24.29,69.72,60.76
8.33,40,5.63,2.39,1548,7.59,22.17,83.78,72.56
14.45,34,8.17,1.65,1402,3.3,29.23,93.64,81.03
3.6,4,4.81,3.66,4409,2.85,27.83,76.97,17.89
10.04,37,1.77,1.88,1653,1.57,30.61,94.67,27.93
9.99,14,1.84,2.7,818,2.73,11.27,68.38,96.82
6.74,46,7.06,4.2,1446,8.42,13.98,75.14,39.1
3.38,10,7.71,4.25,1580,4.15,32.49,92.41,60.29
12.52,14,6.18,2.22,4576,6.68,22.96,91.67,47.67
7.18,24,9.04,1.88,613,4.44,11.53,88.73,93.45
12.44,14,4.51,3.9,2914,6.52,27.73,69.1,12.46
7.26,15,1.15,1.36,931,6.99,19.51,75.73,13.37
5.98,30,4.09,4.05,3021,1.36,31.82,86.92,62.29
11.04,10,8.28,4.8,1652,6.3,29.52,89.48,25.29
11.76,19,9.45,2.47,4957,1.11,20.28,93.59,54.76
8.81,13,6.99,4.21,1181,5.36,30.65,84.53,47.31
11.87,49,7.88,2.22,2406,8.92,11.95,88.83,26.82
8.12,9,7.44,4.75,2031,6.43,20.27,70.89,39.71
9.18,2,9.62,4.16,1757,4.04,36.65,82.74,86.09
12.45,17,9.97,2.06,3794,1.41,15.43,75.98,16.83
9.12,43,8.11,1.36,1921,6.64,15.3,92.77,81.07
3.48,4,4.11,2.23,3046,3.63,21.69,94.78,58.27
12.63,42,7.11,3.39,4566,6.92,33.61,84.85,75.34
6.45,32,7.22,2.32,3696,8.4,10.55,77.98,78.77
10.75,20,9.11,2.13,4716,7.96,27.46,95.77,84.91
4.41,11,6.97,2.75,4853,1.31,21.09,69.58,46.06
9.9,42,5.14,2.26,2323,1.33,13.99,92.59,77.62
11.18,22,6.11,2.32,305,9.16,10.18,82.49,99.51
7.17,11,3.85,2.99,3077,1.99,30.51,74.94,59.53
3.8,41,4.63,1.24,648,5.81,14.33,71.48,40.49
4.67,27,1.7,3.59,2759,9.29,32.26,95.96,51.25
5.45,22,2.58,1.59,2563,2.08,20.85,72.66,71.68
10.48,6,3.02,1.03,173,7.11,32.75,86.93,51.84
9.14,12,6.56,3.8,1646,1.11,29.86,77.28,71.49
6.9,2,9.91,2.62,2738,5.39,26.63,75.71,68.35
4.73,45,9.44,3.43,4715,7.63,16.38,74.12,68.83
9.53,11,8.91,2.83,1634,4.95,23.46,74.04,37.89
11.51,25,5.1,2.55,3066,6.49,35.59,76.46,35.62
3.18,20,3.93,1.64,1261,4.87,34.48,95.58,61.76
3.21,40,3.44,3.3,4100,6.13,17.62,69.85,84.14
14.71,38,4.32,1.62,2011,6.9,14.71,69.59,82.25
6.58,37,6.93,1.55,2572,9.24,27.97,79.66,74.51
13.02,48,1.41,1.93,2151,3.55,18.72,73.42,45.77
13.7,14,7.38,1.95,4825,4.1,13.17,73.65,10.3
13.27,33,8.9,1.57,118,6.24,27.41,79.1,49.23
9.53,40,5.3,2.59,3130,3.81,12.55,80.94,96.76
13.12,11,6.68,4.1,1692,8.46,12.1,68.11,46.48
4.41,34,9.84,2.38,4135,6.46,25.05,83.53,79.92
7.23,10,8.96,3.39,2430,9.3,13.56,74.87,25.33
5.19,16,1.57,3.62,4524,9.53,11.16,91.14,66.51
10.62,47,3.66,1.2,3506,5.89,31.25,68.02,85.01
8.7,35,2.46,4.47,2014,5.45,17.79,86.4,43.23
12.41,5,5.85,3.92,4176,9.98,33.34,68.99,22.19
3.03,11,9.1,4.14,4653,9.6,25.11,90.62,45.58
9.97,34,8.34,1.04,509,8.34,8.37,68.34,77.98
14.31,11,4.06,4.98,1542,5.76,11.29,84.19,60.83
11.45,7,9.78,2.22,3190,2.85,34.68,73.3,49.41
10.7,32,6.38,1.16,2806,9.33,35.71,68.92,48.54
14.05,25,4.28,2.56,1437,6.37,19.98,73.92,59.22
4.39,2,2.51,2.56,654,7.83,17.22,73.08,58.5
12.6,26,8.6,4.73,1852,9.86,23.87,85.18,66.0
4.48,49,4.71,1.9,4067,7.39,32.02,72.48,83.08
2.04,4,2.69,3.84,3993,5.91,25.69,91.5,55.21
10.62,17,5.42,4.75,4177,9.24,34.17,82.01,25.31
13.24,38,3.72,4.4,2484,9.4,35.18,87.34,22.87
2.49,24,5.98,3.91,932,1.78,33.29,86.85,78.75
11.09,42,7.32,4.05,241,4.12,28.73,80.55,34.44
13.1,47,3.68,3.52,1319,3.18,8.92,75.18,25.35
14.55,35,4.11,3.75,3567,2.79,34.98,73.96,54.62
14.77,40,7.25,2.23,3454,4.55,30.43,92.37,62.43
4.37,37,7.4,1.42,4310,6.34,28.35,90.97,20.14
6.52,7,6.32,4.49,2671,4.93,36.58,75.92,25.95
7.44,28,6.93,3.87,2916,8.33,20.21,89.83,29.62
10.92,48,6.97,2.44,2212,1.67,27.95,95.25,99.66
6.53,13,8.78,4.26,849,4.36,14.51,88.25,87.73
3.32,20,6.09,2.95,2726,5.42,20.13,73.37,60.35
5.4,14,6.49,1.54,104,4.59,33.16,68.04,10.09
6.8,30,6.5,4.07,4685,2.82,24.37,86.27,33.53
11.78,32,2.11,2.9,2537,6.5,28.21,76.03,76.45
8.89,11,4.3,3.07,545,8.25,9.49,91.62,58.5
14.71,21,2.0,3.74,294,1.45,29.12,82.29,42.22
3.66,11,1.61,4.83,372,9.44,17.67,93.12,40.39
5.17,21,4.95,1.7,4076,4.59,16.35,92.78,35.92
11.39,37,6.89,4.96,4884,6.1,26.16,86.86,21.51
10.5,5,5.48,2.09,1588,7.33,11.21,90.3,92.13
11.26,27,8.21,4.98,4871,2.89,9.25,91.97,70.91
10.7,28,3.19,1.27,4741,3.35,15.96,76.25,25.91
7.13,15,8.07,2.19,3845,6.75,27.64,70.52,39.48
11.82,14,4.35,3.63,964,1.63,23.96,82.53,96.08
5.03,38,7.65,1.75,4280,6.54,23.77,83.72,98.85
6.38,29,6.7,2.55,3840,4.66,25.65,76.61,42.8
13.99,48,4.3,4.61,2318,6.68,17.58,73.53,63.62
4.77,31,3.38,1.23,2587,3.53,19.21,94.62,52.83
5.17,3,9.48,4.58,1430,6.77,31.3,92.76,93.33
13.98,38,9.47,2.21,4235,8.26,29.9,69.04,10.75
2.81,10,5.19,2.96,819,8.91,16.66,79.73,10.65
10.11,46,1.91,2.8,4619,5.53,17.42,91.51,30.3
6.72,18,3.61,2.44,3782,9.17,14.21,69.59,22.07
10.57,10,7.29,3.29,287,9.61,35.99,80.42,22.15
6.51,17,5.71,4.51,3984,9.68,11.08,80.33,44.75
2.28,36,4.38,1.54,3049,8.34,14.51,75.17,55.28
10.57,16,8.81,1.02,2916,1.76,20.9,68.76,35.81
5.67,48,3.35,4.74,2843,6.21,17.51,78.16,52.89
13.87,8,3.6,1.4,1686,8.18,9.25,94.12,13.57
12.64,35,1.57,4.73,565,9.16,32.18,81.88,47.72
5.07,6,6.71,2.25,494,9.88,36.45,89.62,12.55
6.07,12,1.12,1.68,3018,5.91,22.76,78.29,79.83
8.83,33,6.45,4.57,3344,7.48,25.03,76.78,85.34
12.8,25,2.92,3.02,3070,4.44,36.92,96.67,70.96
13.2,40,3.57,4.93,3413,2.83,32.86,78.7,86.24
6.93,1,2.46,2.0,428,4.94,8.89,92.83,47.88
8.7,24,6.33,2.98,1675,1.16,34.84,90.31,50.89
5.0,34,4.32,3.15,1935,4.85,12.68,80.24,28.14
10.91,16,2.62,2.48,3090,7.11,20.63,84.31,20.29
14.51,4,6.89,3.65,2029,8.24,35.15,86.18,85.58
5.11,8,3.55,2.22,2750,3.61,12.44,81.44,87.92
6.21,36,3.44,1.33,4818,8.06,26.79,70.95,79.42
2.5,23,5.8,3.25,4852,1.43,32.82,77.47,31.24
11.88,23,9.03,2.71,4473,4.48,11.19,78.49,68.24
12.05,43,1.93,2.01,4258,1.99,8.52,68.56,47.85
14.83,2,8.04,2.09,2159,1.51,19.35,71.86,17.64
7.72,27,1.91,2.2,2493,5.28,12.02,72.63,56.86
9.68,38,9.75,2.81,1982,7.72,19.98,89.99,26.93
14.71,43,7.95,3.14,4895,7.94,30.87,68.79,16.13
14.23,7,9.13,4.85,1160,2.93,12.77,76.37,54.85
4.38,24,7.77,4.3,3941,1.11,25.35,82.55,13.12
12.7,44,9.76,3.67,621,6.8,33.68,70.34,74.22
3.0,49,4.5,4.73,1190,5.12,27.49,90.74,16.18
11.56,23,5.75,4.56,3655,9.54,17.95,81.81,71.12
13.88,44,9.3,4.63,3468,7.73,29.71,75.31,21.72
10.77,11,3.02,1.08,2155,7.85,18.94,81.26,54.09
4.32,19,3.66,3.42,681,6.17,16.1,73.65,97.77
14.11,25,8.86,3.86,4064,2.29,19.51,94.13,49.38
7.71,39,5.39,4.8,2304,2.13,21.78,91.5,90.24
11.81,44,2.16,3.97,4079,2.81,11.77,91.5,54.18
9.48,8,4.06,1.87,559,9.86,29.88,82.1,65.23
5.66,6,1.51,2.19,1338,3.28,29.25,76.53,21.39
7.63,15,4.6,1.87,477,6.02,17.42,90.7,11.23
12.21,21,9.02,1.42,4882,6.65,31.07,92.76,11.61
6.23,3,9.68,2.36,2215,2.67,27.64,87.53,27.91
11.57,7,1.11,3.65,167,1.64,31.11,88.29,33.96
14.16,38,4.57,1.22,1031,2.83,19.41,92.68,10.5
13.42,36,9.1,3.2,4217,3.51,23.31,91.32,15.37
5.5,19,4.23,2.52,1332,2.06,33.53,84.0,68.62
2.19,4,8.63,3.47,1502,5.58,28.39,76.29,78.36
10.44,17,9.27,2.02,1035,7.93,24.4,83.39,71.5
13.79,43,8.43,3.33,1397,1.09,35.09,92.56,92.49
3.47,46,9.29,1.25,4604,5.25,9.0,75.01,54.92
6.45,14,9.97,1.86,4633,7.16,27.91,71.76,90.2
6.85,32,9.47,2.27,513,5.93,30.14,92.73,11.26
12.59,4,5.46,2.01,3826,2.81,30.5,89.56,52.1
8.72,40,9.72,1.78,2400,4.25,22.94,91.31,39.49
8.62,4,1.68,4.73,678,3.04,20.52,92.48,48.71
12.25,7,2.67,4.45,4099,2.2,11.48,86.6,63.83
6.58,32,3.64,1.98,456,8.13,16.96,78.27,49.94
10.88,19,2.12,1.43,1556,8.17,10.7,90.89,71.95
12.54,9,8.55,3.07,3783,9.3,20.98,78.81,59.61
12.73,18,4.43,2.37,857,9.03,29.51,72.32,45.51
4.86,1,5.12,3.17,4493,6.16,11.88,89.03,74.1
10.85,27,4.3,3.63,1487,4.0,10.83,95.29,16.61
13.72,21,5.9,2.46,3183,9.56,12.56,74.23,42.88
3.42,10,4.63,1.69,3673,6.37,9.57,83.75,59.24
7.76,42,4.63,1.6,3323,3.55,16.79,95.11,92.93
8.37,48,7.28,4.9,3148,6.9,12.19,84.81,75.21
13.27,43,9.25,2.36,493,9.35,17.12,91.63,31.42
5.47,17,6.88,1.14,3890,6.46,16.32,91.27,81.98
12.76,30,4.34,1.75,2442,8.48,20.89,77.25,98.37
13.01,46,1.55,1.54,4797,9.88,34.21,87.98,97.52
10.19,39,4.88,2.44,277,1.86,14.03,80.88,61.57
12.0,22,3.33,5.0,2200,9.77,8.42,88.44,17.6
13.68,12,9.22,3.33,670,1.65,22.33,88.6,92.32
10.71,49,7.54,2.05,4261,5.79,29.63,75.98,99.19
14.33,20,1.14,1.86,4022,8.25,31.44,92.24,37.6
2.69,28,3.15,3.41,1814,2.88,19.14,94.26,14.5
8.21,24,3.32,1.44,4072,9.13,11.79,72.82,42.89
14.29,6,9.54,4.72,318,5.51,26.18,91.67,44.7
11.08,33,6.22,1.83,2719,1.19,22.9,69.4,40.01
11.56,8,5.91,2.01,891,6.65,17.24,81.0,91.49
6.1,18,2.22,3.65,3432,1.66,36.5,72.24,59.97
12.03,23,3.4,4.01,476,6.13,24.37,77.62,28.49
8.94,28,1.89,3.03,1303,6.8,12.2,93.7,56.04
9.63,42,4.46,3.7,3023,6.14,34.11,71.93,25.09
8.94,32,4.92,1.44,2672,3.25,29.38,80.25,11.32
12.98,45,9.36,3.35,622,5.39,14.53,90.96,89.77
13.98,21,6.48,2.39,3493,6.31,16.22,74.66,68.8
2.78,21,7.9,1.83,2165,8.27,20.22,87.85,91.67
3.19,7,1.23,3.39,3047,3.49,28.27,96.86,36.8
5.36,7,6.63,4.43,3466,6.99,19.99,83.22,81.73
6.33,4,1.06,3.06,1320,1.41,26.0,69.44,56.17
2.14,18,9.98,3.48,841,7.3,31.06,72.98,94.03
10.43,30,1.86,2.17,113,9.69,18.53,76.73,42.82
4.05,12,6.89,3.07,414,9.9,17.66,92.64,58.33
3.37,6,6.7,2.64,1656,8.92,19.49,84.71,69.91
13.1,25,3.84,1.44,1720,1.54,22.45,89.53,74.8
14.18,3,5.57,1.97,3890,2.01,19.68,90.93,80.03
14.83,39,4.55,4.05,1897,6.93,13.54,86.84,71.79
10.97,4,3.01,1.4,137,6.34,26.86,87.69,30.42
6.25,17,2.65,2.95,1884,1.51,34.5,69.01,11.67
6.39,22,8.71,2.75,817,7.96,16.84,76.13,80.81
4.43,2,2.16,1.66,603,4.27,18.71,71.59,53.47
3.6,32,9.15,1.85,3361,3.83,26.55,87.95,81.4
13.23,26,4.98,1.87,3722,5.88,14.4,94.75,69.09
13.69,1,9.97,3.78,3376,7.84,28.83,89.81,81.8
5.44,45,2.29,4.04,2828,8.05,27.38,96.58,31.79
5.29,1,1.32,3.04,690,7.35,8.39,77.53,72.83
5.93,10,7.38,4.34,3062,4.73,11.1,68.7,57.98
7.28,22,8.95,2.79,904,6.57,22.97,81.28,93.62
11.83,11,3.23,2.84,370,8.24,15.49,86.81,45.57
10.67,10,7.01,2.91,4388,3.3,13.72,93.16,73.5
5.18,29,4.62,1.01,2657,9.03,12.34,74.19,75.94
6.75,37,5.87,1.94,4477,8.38,24.59,89.23,59.36
2.75,12,5.69,1.81,2203,3.07,14.13,82.7,35.1
11.28,23,4.78,2.98,4117,2.64,21.17,74.28,12.49
4.04,42,1.91,2.0,2239,9.87,29.53,77.01,17.78
7.19,5,6.71,4.38,2488,1.84,34.14,70.93,59.6
9.05,3,6.57,2.63,2576,1.78,13.7,69.38,17.15
11.08,1,3.46,1.21,742,6.6,10.16,94.32,23.17
3.68,44,3.95,1.84,875,9.26,9.4,95.15,39.88
6.22,44,7.84,2.97,1779,6.05,36.69,69.83,79.52
14.22,5,2.11,3.37,2428,9.3,18.27,69.3,97.29
5.1,13,3.75,3.0,1348,5.31,20.42,93.77,77.37
11.7,47,2.6,3.32,4559,6.73,10.14,82.47,87.7
8.26,18,4.59,2.94,2817,9.77,17.4,76.33,41.24
6.99,13,7.69,1.94,2335,2.62,15.96,91.17,90.61
12.61,7,6.52,2.01,3592,9.82,13.23,83.93,65.61
4.3,40,5.39,2.94,4078,5.55,14.03,74.91,29.61
14.65,44,6.56,4.16,408,3.71,20.67,88.92,54.78
6.35,20,2.13,2.65,3391,1.97,25.96,81.42,16.56
5.22,42,2.96,2.33,1569,7.32,13.58,92.97,70.17
9.45,43,2.96,1.67,3164,5.54,32.4,90.2,71.22
14.68,43,4.19,3.1,3093,5.23,16.59,68.29,26.7
10.01,31,7.02,2.45,3230,1.67,32.14,68.28,80.15
6.27,35,2.14,4.59,2438,4.83,21.31,90.48,70.22
8.91,2,8.35,3.12,2897,6.1,29.35,94.12,19.76
14.42,14,8.94,1.33,3911,9.38,25.25,79.22,48.12
12.86,28,2.08,1.11,3478,5.78,17.49,86.07,44.42
9.01,4,4.85,4.19,4060,4.08,18.68,91.65,24.86
14.52,9,8.07,4.75,263,1.63,17.67,71.44,90.6
9.53,13,2.27,3.24,2126,9.77,21.68,82.2,18.33
3.63,11,7.15,2.97,4607,3.85,10.37,77.74,58.47
5.23,9,9.38,3.44,3522,3.92,13.94,77.69,45.73
